CS:GO Revival - item id reference (generated by build_item_ids.py)
Columns: <def_index>  <definition name>
     5052  customplayer_tm_professional_var4
     5053  customplayer_tm_separatist
     5054  customplayer_tm_separatist_varianta
     5055  customplayer_tm_separatist_variantb
     5056  customplayer_tm_separatist_variantc
     5057  customplayer_tm_separatist_variantd
     5058  customplayer_ctm_gign
     5059  customplayer_ctm_gign_varianta
     5060  customplayer_ctm_gign_variantb
     5061  customplayer_ctm_gign_variantc
     5062  customplayer_ctm_gign_variantd
     5063  customplayer_ctm_gsg9
     5064  customplayer_ctm_gsg9_varianta
     5065  customplayer_ctm_gsg9_variantb
     5066  customplayer_ctm_gsg9_variantc
     5067  customplayer_ctm_gsg9_variantd
     5068  customplayer_ctm_idf
     5069  customplayer_ctm_idf_variantb
     5070  customplayer_ctm_idf_variantc
     5071  customplayer_ctm_idf_variantd
     5072  customplayer_ctm_idf_variante
     5073  customplayer_ctm_idf_variantf
     5074  customplayer_ctm_swat
     5075  customplayer_ctm_swat_varianta
     5076  customplayer_ctm_swat_variantb
     5077  customplayer_ctm_swat_variantc
     5078  customplayer_ctm_swat_variantd
     5079  customplayer_ctm_sas_varianta
     5080  customplayer_ctm_sas_variantb
     5081  customplayer_ctm_sas_variantc
     5082  customplayer_ctm_sas_variantd
     5083  customplayer_ctm_st6
     5084  customplayer_ctm_st6_varianta
     5085  customplayer_ctm_st6_variantb
     5086  customplayer_ctm_st6_variantc
     5087  customplayer_ctm_st6_variantd
     5088  customplayer_tm_balkan_variante
     5089  customplayer_tm_balkan_varianta
     5090  customplayer_tm_balkan_variantb
     5091  customplayer_tm_balkan_variantc
     5092  customplayer_tm_balkan_variantd
     5093  customplayer_tm_jumpsuit_varianta
     5094  customplayer_tm_jumpsuit_variantb
     5095  customplayer_tm_jumpsuit_variantc
     5096  customplayer_tm_phoenix_heavy
     5097  customplayer_ctm_heavy
     5100  customplayer_tm_leet_varianta
     5101  customplayer_tm_leet_variantb
     5102  customplayer_tm_leet_variantc
     5103  customplayer_tm_leet_variantd
     5104  customplayer_tm_leet_variante
     5105  customplayer_tm_leet_variantg
     5106  customplayer_tm_leet_varianth
     5107  customplayer_tm_leet_varianti
     5108  customplayer_tm_leet_variantf
     5109  customplayer_tm_leet_variantj
     5200  customplayer_tm_phoenix
     5201  customplayer_tm_phoenix_varianta
     5202  customplayer_tm_phoenix_variantb
     5203  customplayer_tm_phoenix_variantc
     5204  customplayer_tm_phoenix_variantd
     5205  customplayer_tm_phoenix_varianth
     5206  customplayer_tm_phoenix_variantf
     5207  customplayer_tm_phoenix_variantg
     5208  customplayer_tm_phoenix_varianti
     5300  customplayer_ctm_fbi
     5301  customplayer_ctm_fbi_varianta
     5302  customplayer_ctm_fbi_variantc
     5303  customplayer_ctm_fbi_variantd
     5304  customplayer_ctm_fbi_variante
     5305  customplayer_ctm_fbi_variantf
     5306  customplayer_ctm_fbi_variantg
     5307  customplayer_ctm_fbi_varianth
     5308  customplayer_ctm_fbi_variantb
     5400  customplayer_ctm_st6_variantk
     5401  customplayer_ctm_st6_variante
     5402  customplayer_ctm_st6_variantg
     5403  customplayer_ctm_st6_variantm
     5404  customplayer_ctm_st6_varianti
     5405  customplayer_ctm_st6_variantn
     5500  customplayer_tm_balkan_variantf
     5501  customplayer_tm_balkan_varianti
     5502  customplayer_tm_balkan_variantg
     5503  customplayer_tm_balkan_variantj
     5504  customplayer_tm_balkan_varianth
     5505  customplayer_tm_balkan_variantl
     5600  customplayer_ctm_sas
     5601  customplayer_ctm_sas_variantf
     5602  customplayer_ctm_sas_variantg

======================================================================
COLLECTIONS / ITEM SETS (80)
======================================================================
  set key                              display-name token
  set_anubis                           #CSGO_set_anubis
  set_assault                          #CSGO_set_assault
  set_aztec                            #CSGO_set_aztec
  set_baggage                          #CSGO_set_baggage
  set_bank                             #CSGO_set_bank
  set_blacksite                        #CSGO_set_blacksite
  set_bravo_i                          #CSGO_set_bravo_i
  set_bravo_ii                         #CSGO_set_bravo_ii
  set_cache                            #CSGO_set_cache
  set_canals                           #CSGO_set_canals
  set_chopshop                         #CSGO_set_chopshop
  set_cobblestone                      #CSGO_set_cobblestone
  set_community_1                      #CSGO_set_community_1
  set_community_10                     #CSGO_set_community_10
  set_community_11                     #CSGO_set_community_11
  set_community_12                     #CSGO_set_community_12
  set_community_13                     #CSGO_set_community_13
  set_community_15                     #CSGO_set_community_15
  set_community_16                     #CSGO_set_community_16
  set_community_17                     #CSGO_set_community_17
  set_community_18                     #CSGO_set_community_18
  set_community_19                     #CSGO_set_community_19
  set_community_2                      #CSGO_set_community_2
  set_community_20                     #CSGO_set_community_20
  set_community_21                     #CSGO_set_community_21
  set_community_22                     #CSGO_set_community_22
  set_community_23                     #CSGO_set_community_23
  set_community_24                     #CSGO_set_community_24
  set_community_25                     #CSGO_set_community_25
  set_community_26                     #CSGO_set_community_26
  set_community_27                     #CSGO_set_community_27
  set_community_28                     #CSGO_set_community_28
  set_community_29                     #CSGO_set_community_29
  set_community_3                      #CSGO_set_community_3
  set_community_30                     #CSGO_set_community_30
  set_community_31                     #CSGO_set_community_31
  set_community_32                     #CSGO_set_community_32
  set_community_4                      #CSGO_set_community_4
  set_community_5                      #CSGO_set_community_5
  set_community_6                      #CSGO_set_community_6
  set_community_7                      #CSGO_set_community_7
  set_community_8                      #CSGO_set_community_8
  set_community_9                      #CSGO_set_community_9
  set_dust                             #CSGO_set_dust
  set_dust_2                           #CSGO_set_dust_2
  set_dust_2_2021                      #CSGO_set_dust_2_2021
  set_esports                          #CSGO_set_esports
  set_esports_ii                       #CSGO_set_esports_ii
  set_esports_iii                      #CSGO_set_esports_iii
  set_gamma_2                          #CSGO_set_gamma_2
  set_gods_and_monsters                #CSGO_set_gods_and_monsters
  set_inferno                          #CSGO_set_inferno
  set_inferno_2                        #CSGO_set_inferno_2
  set_italy                            #CSGO_set_italy
  set_kimono                           #CSGO_set_kimono
  set_lake                             #CSGO_set_lake
  set_militia                          #CSGO_set_militia
  set_mirage                           #CSGO_set_mirage
  set_mirage_2021                      #CSGO_set_mirage_2021
  set_norse                            #CSGO_set_norse
  set_nuke                             #CSGO_set_nuke
  set_nuke_2                           #CSGO_set_nuke_2
  set_office                           #CSGO_set_office
  set_op10_ancient                     #CSGO_set_op10_ancient
  set_op10_characters                  #CSGO_set_op10_characters
  set_op10_ct                          #CSGO_set_op10_ct
  set_op10_t                           #CSGO_set_op10_t
  set_op11_characters                  #CSGO_set_op11_characters
  set_op9_characters                   #CSGO_set_op9_characters
  set_overpass                         #CSGO_set_overpass
  set_safehouse                        #CSGO_set_safehouse
  set_stmarc                           #CSGO_set_stmarc
  set_train                            #CSGO_set_train
  set_train_2021                       #CSGO_set_train_2021
  set_vertigo                          #CSGO_set_vertigo
  set_vertigo_2021                     #CSGO_set_vertigo_2021
  set_weapons_i                        #CSGO_set_weapons_i
  set_weapons_ii                       #CSGO_set_weapons_ii
  set_weapons_iii                      #CSGO_set_weapons_iii
  set_xraymachine                      #CSGO_set_xraymachine
